,L,R,U,D,ATK,SPC,JMP,DGD,STR
0,0.2972685992717743,0.14906394481658936,0.1797153204679489,0.23599201440811157,0.03884446248412132,0.007885613478720188,0.01883932389318943,0.0726032629609108,0.011994262225925922
1,0.2196730673313141,0.15564104914665222,0.24628040194511414,0.19545501470565796,0.003731670556589961,0.0148216113448143,0.0022368929348886013,0.010535302571952343,0.028786493465304375
2,0.1595819741487503,0.24082720279693604,0.33651092648506165,0.07973097264766693,0.0021232864819467068,0.011537549085915089,0.009102086536586285,0.0057051582261919975,0.0638592541217804
3,0.09993202239274979,0.20168741047382355,0.22395293414592743,0.016702832654118538,0.00043989240657538176,0.008950614370405674,0.02518131211400032,0.0013475290033966303,0.002671115333214402
4,0.08627811074256897,0.11496981978416443,0.13920573890209198,0.00733965402469039,0.000125305843539536,0.0039093513041734695,0.04155682772397995,0.0005370170692913234,0.00030619723838754
5,0.07804364711046219,0.0842890739440918,0.10154210776090622,0.007330113556236029,8.64668982103467e-05,0.0030139735899865627,0.05681604892015457,0.0003897834976669401,0.00012396751844789833
6,0.07341095805168152,0.07845635712146759,0.09157095849514008,0.009052966721355915,0.00010313663369743153,0.0042614080011844635,0.06674086302518845,0.0004777855356223881,0.00015049349167384207
7,0.08885547518730164,0.106927789747715,0.1130276471376419,0.01488100178539753,0.00031722133280709386,0.008445958606898785,0.08860411494970322,0.0012019365094602108,0.0004784174379892647
8,0.10613664984703064,0.1554272621870041,0.15049521625041962,0.02580803446471691,0.0012913536047562957,0.02175714634358883,0.12156978994607925,0.0034321194980293512,0.002084501786157489
9,0.10226263105869293,0.18902519345283508,0.16440895199775696,0.03185434639453888,0.00596636300906539,0.055560313165187836,0.3454864025115967,0.007809498347342014,0.0048234048299491405
10,0.0748632550239563,0.1566375195980072,0.15344248712062836,0.024657778441905975,0.008692084811627865,0.08273656666278839,0.500803530216217,0.007518760859966278,0.003655441105365753
11,0.07000135630369186,0.16336238384246826,0.16074715554714203,0.030754178762435913,0.008916729129850864,0.0914345383644104,0.4665624499320984,0.010148243978619576,0.006105722859501839
12,0.08389180153608322,0.20639382302761078,0.1794891506433487,0.03432473912835121,0.0065640839748084545,0.14194239675998688,0.17904430627822876,0.01656084880232811,0.008269146084785461
13,0.061346910893917084,0.16471639275550842,0.15374617278575897,0.020631439983844757,0.003085588337853551,0.15099240839481354,0.09964364022016525,0.013362576253712177,0.00355269992724061
14,0.038740068674087524,0.13864359259605408,0.13295100629329681,0.014150723814964294,0.0016209688037633896,0.17220918834209442,0.03722153231501579,0.009983970783650875,0.0016752859810367227
15,0.023085499182343483,0.10714805126190186,0.11521641910076141,0.007022706791758537,0.00099654879886657,0.1481102705001831,0.03939344733953476,0.005735337268561125,0.0006760219112038612
16,0.019255297258496284,0.11265929043292999,0.12553377449512482,0.006345824338495731,0.0008145129540935159,0.1784677654504776,0.015218928456306458,0.006284202914685011,0.0005375330219976604
17,0.017134804278612137,0.1160617470741272,0.13521581888198853,0.006361774168908596,0.0009635854512453079,0.18145930767059326,0.014493877068161964,0.007079622242599726,0.0005208398797549307
18,0.021139979362487793,0.16330495476722717,0.17217792570590973,0.01068588625639677,0.0027121452149003744,0.16220732033252716,0.02656303159892559,0.011066309176385403,0.0011547754984349012
19,0.02653058059513569,0.21381370723247528,0.20474322140216827,0.01547257974743843,0.006019843276590109,0.14515477418899536,0.04282598942518234,0.015070553869009018,0.002180352108553052
20,0.032252199947834015,0.24791671335697174,0.2245648354291916,0.018861787393689156,0.009546667337417603,0.13677234947681427,0.056613169610500336,0.01796744577586651,0.003148386487737298
21,0.03715520352125168,0.2627483904361725,0.23528851568698883,0.02096356637775898,0.011896555311977863,0.13447222113609314,0.06411906331777573,0.019828999415040016,0.0038527916185557842
22,0.03841976448893547,0.2535070478916168,0.23341265320777893,0.020735308527946472,0.011166700161993504,0.13774795830249786,0.059212323278188705,0.020652059465646744,0.0037990007549524307
23,0.03480556979775429,0.22713583707809448,0.2196599543094635,0.018248330801725388,0.008110606111586094,0.14495092630386353,0.0468946136534214,0.02053493820130825,0.0030172637198120356
24,0.029055405408143997,0.19512085616588593,0.19972862303256989,0.014942923560738564,0.005167385097593069,0.15683962404727936,0.03400437533855438,0.01997959613800049,0.0020684446208178997
25,0.0235538799315691,0.16948068141937256,0.17957325279712677,0.012204217724502087,0.003418893553316593,0.16113997995853424,0.02539735846221447,0.01937931403517723,0.0013897741446271539
26,0.02015676721930504,0.1568690985441208,0.16711650788784027,0.010714814066886902,0.002726547187194228,0.15901191532611847,0.0218739602714777,0.01919885352253914,0.0010721448343247175
27,0.019124489277601242,0.15792015194892883,0.1661531925201416,0.010639412328600883,0.0027702937368303537,0.15509027242660522,0.02200019173324108,0.019686000421643257,0.0010510600404813886
28,0.019293418154120445,0.16562508046627045,0.17089559137821198,0.011194370687007904,0.003166540525853634,0.15060696005821228,0.02372841164469719,0.020620563998818398,0.0011625117622315884
29,0.020173119381070137,0.1760413646697998,0.17833244800567627,0.012136302888393402,0.003778962418437004,0.14780883491039276,0.025875406339764595,0.021854860708117485,0.001357060158625245
30,0.021071022376418114,0.1842614859342575,0.18461768329143524,0.01296126376837492,0.004338452126830816,0.1466791182756424,0.02732427604496479,0.02293388359248638,0.0015428300248458982
